axis,bucket,descriptor,descriptor_gender,descriptor_preference,noun,plural_noun,noun_gender,noun_phrase,plural_noun_phrase,noun_phrase_type
ability,(none),who stutters,(none),reviewed,grandmother,grandmothers,female,a grandmother who stutters,grandmothers who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,grandpa,grandpas,male,a grandpa who stutters,grandpas who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,grandparent,grandparents,neutral,a grandparent who stutters,grandparents who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,guy,guys,male,a guy who stutters,guys who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,husband,husbands,male,a husband who stutters,husbands who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,individual,individuals,neutral,an individual who stutters,individuals who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,kid,kids,neutral,a kid who stutters,kids who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,lady,ladies,female,a lady who stutters,ladies who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,man,men,male,a man who stutters,men who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,mom,moms,female,a mom who stutters,moms who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,mother,mothers,female,a mother who stutters,mothers who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,parent,parents,neutral,a parent who stutters,parents who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,person,people,neutral,a person who stutters,people who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,sibling,siblings,neutral,a sibling who stutters,siblings who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,sister,sisters,female,a sister who stutters,sisters who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,son,sons,male,a son who stutters,sons who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,spouse,spouses,neutral,a spouse who stutters,spouses who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,veteran,veterans,neutral,a veteran who stutters,veterans who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,wife,wives,female,a wife who stutters,wives who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,woman,women,female,a woman who stutters,women who stutter,noun_descriptor
ability,(none),with a lisp,(none),reviewed,boy,boys,male,a boy with a lisp,boys with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,bro,bros,male,a bro with a lisp,bros with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,brother,brothers,male,a brother with a lisp,brothers with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,child,children,neutral,a child with a lisp,children with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,dad,dads,male,a dad with a lisp,dads with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,daughter,daughters,female,a daughter with a lisp,daughters with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,father,fathers,male,a father with a lisp,fathers with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,girl,girls,female,a girl with a lisp,girls with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,grandfather,grandfathers,male,a grandfather with a lisp,grandfathers with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,grandma,grandmas,female,a grandma with a lisp,grandmas with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,grandmother,grandmothers,female,a grandmother with a lisp,grandmothers with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,grandpa,grandpas,male,a grandpa with a lisp,grandpas with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,grandparent,grandparents,neutral,a grandparent with a lisp,grandparents with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,guy,guys,male,a guy with a lisp,guys with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,husband,husbands,male,a husband with a lisp,husbands with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,individual,individuals,neutral,an individual with a lisp,individuals with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,kid,kids,neutral,a kid with a lisp,kids with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,lady,ladies,female,a lady with a lisp,ladies with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,man,men,male,a man with a lisp,men with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,mom,moms,female,a mom with a lisp,moms with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,mother,mothers,female,a mother with a lisp,mothers with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,parent,parents,neutral,a parent with a lisp,parents with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,person,people,neutral,a person with a lisp,people with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,sibling,siblings,neutral,a sibling with a lisp,siblings with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,sister,sisters,female,a sister with a lisp,sisters with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,son,sons,male,a son with a lisp,sons with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,spouse,spouses,neutral,a spouse with a lisp,spouses with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,veteran,veterans,neutral,a veteran with a lisp,veterans with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,wife,wives,female,a wife with a lisp,wives with lisps,noun_descriptor
ability,(none),with a lisp,(none),reviewed,woman,women,female,a woman with a lisp,women with lisps,noun_descriptor
ability,(none),with bifocals,(none),reviewed,boy,boys,male,a boy with bifocals,boys with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,bro,bros,male,a bro with bifocals,bros with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,brother,brothers,male,a brother with bifocals,brothers with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,child,children,neutral,a child with bifocals,children with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,dad,dads,male,a dad with bifocals,dads with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,daughter,daughters,female,a daughter with bifocals,daughters with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,father,fathers,male,a father with bifocals,fathers with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,girl,girls,female,a girl with bifocals,girls with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,grandfather,grandfathers,male,a grandfather with bifocals,grandfathers with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,grandma,grandmas,female,a grandma with bifocals,grandmas with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,grandmother,grandmothers,female,a grandmother with bifocals,grandmothers with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,grandpa,grandpas,male,a grandpa with bifocals,grandpas with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,grandparent,grandparents,neutral,a grandparent with bifocals,grandparents with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,guy,guys,male,a guy with bifocals,guys with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,husband,husbands,male,a husband with bifocals,husbands with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,individual,individuals,neutral,an individual with bifocals,individuals with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,kid,kids,neutral,a kid with bifocals,kids with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,lady,ladies,female,a lady with bifocals,ladies with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,man,men,male,a man with bifocals,men with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,mom,moms,female,a mom with bifocals,moms with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,mother,mothers,female,a mother with bifocals,mothers with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,parent,parents,neutral,a parent with bifocals,parents with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,person,people,neutral,a person with bifocals,people with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,sibling,siblings,neutral,a sibling with bifocals,siblings with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,sister,sisters,female,a sister with bifocals,sisters with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,son,sons,male,a son with bifocals,sons with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,spouse,spouses,neutral,a spouse with bifocals,spouses with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,veteran,veterans,neutral,a veteran with bifocals,veterans with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,wife,wives,female,a wife with bifocals,wives with bifocals,noun_descriptor
ability,(none),with bifocals,(none),reviewed,woman,women,female,a woman with bifocals,women with bifocals,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,boy,boys,male,a boy with difficulty seeing,boys with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,bro,bros,male,a bro with difficulty seeing,bros with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,brother,brothers,male,a brother with difficulty seeing,brothers with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,child,children,neutral,a child with difficulty seeing,children with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,dad,dads,male,a dad with difficulty seeing,dads with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,daughter,daughters,female,a daughter with difficulty seeing,daughters with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,father,fathers,male,a father with difficulty seeing,fathers with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,girl,girls,female,a girl with difficulty seeing,girls with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,grandfather,grandfathers,male,a grandfather with difficulty seeing,grandfathers with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,grandma,grandmas,female,a grandma with difficulty seeing,grandmas with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,grandmother,grandmothers,female,a grandmother with difficulty seeing,grandmothers with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,grandpa,grandpas,male,a grandpa with difficulty seeing,grandpas with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,grandparent,grandparents,neutral,a grandparent with difficulty seeing,grandparents with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,guy,guys,male,a guy with difficulty seeing,guys with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,husband,husbands,male,a husband with difficulty seeing,husbands with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,individual,individuals,neutral,an individual with difficulty seeing,individuals with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,kid,kids,neutral,a kid with difficulty seeing,kids with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,lady,ladies,female,a lady with difficulty seeing,ladies with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,man,men,male,a man with difficulty seeing,men with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,mom,moms,female,a mom with difficulty seeing,moms with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,mother,mothers,female,a mother with difficulty seeing,mothers with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,parent,parents,neutral,a parent with difficulty seeing,parents with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,person,people,neutral,a person with difficulty seeing,people with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,sibling,siblings,neutral,a sibling with difficulty seeing,siblings with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,sister,sisters,female,a sister with difficulty seeing,sisters with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,son,sons,male,a son with difficulty seeing,sons with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,spouse,spouses,neutral,a spouse with difficulty seeing,spouses with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,veteran,veterans,neutral,a veteran with difficulty seeing,veterans with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,wife,wives,female,a wife with difficulty seeing,wives with difficulty seeing,noun_descriptor
ability,(none),with difficulty seeing,(none),reviewed,woman,women,female,a woman with difficulty seeing,women with difficulty seeing,noun_descriptor
ability,auditory,Deaf,(none),reviewed,(none),(none),(none),Deaf,Deaf,descriptor
ability,auditory,Deaf,(none),reviewed,boy,boys,male,a Deaf boy,Deaf boys,descriptor_noun
ability,auditory,Deaf,(none),reviewed,bro,bros,male,a Deaf bro,Deaf bros,descriptor_noun
ability,auditory,Deaf,(none),reviewed,brother,brothers,male,a Deaf brother,Deaf brothers,descriptor_noun
ability,auditory,Deaf,(none),reviewed,child,children,neutral,a Deaf child,Deaf children,descriptor_noun
ability,auditory,Deaf,(none),reviewed,dad,dads,male,a Deaf dad,Deaf dads,descriptor_noun
ability,auditory,Deaf,(none),reviewed,daughter,daughters,female,a Deaf daughter,Deaf daughters,descriptor_noun
ability,auditory,Deaf,(none),reviewed,father,fathers,male,a Deaf father,Deaf fathers,descriptor_noun
ability,auditory,Deaf,(none),reviewed,girl,girls,female,a Deaf girl,Deaf girls,descriptor_noun
ability,auditory,Deaf,(none),reviewed,grandfather,grandfathers,male,a Deaf grandfather,Deaf grandfathers,descriptor_noun
ability,auditory,Deaf,(none),reviewed,grandma,grandmas,female,a Deaf grandma,Deaf grandmas,descriptor_noun
ability,auditory,Deaf,(none),reviewed,grandmother,grandmothers,female,a Deaf grandmother,Deaf grandmothers,descriptor_noun
ability,auditory,Deaf,(none),reviewed,grandpa,grandpas,male,a Deaf grandpa,Deaf grandpas,descriptor_noun
ability,auditory,Deaf,(none),reviewed,grandparent,grandparents,neutral,a Deaf grandparent,Deaf grandparents,descriptor_noun
ability,auditory,Deaf,(none),reviewed,guy,guys,male,a Deaf guy,Deaf guys,descriptor_noun
ability,auditory,Deaf,(none),reviewed,husband,husbands,male,a Deaf husband,Deaf husbands,descriptor_noun
ability,auditory,Deaf,(none),reviewed,individual,individuals,neutral,a Deaf individual,Deaf individuals,descriptor_noun
ability,auditory,Deaf,(none),reviewed,kid,kids,neutral,a Deaf kid,Deaf kids,descriptor_noun
ability,auditory,Deaf,(none),reviewed,lady,ladies,female,a Deaf lady,Deaf ladies,descriptor_noun
ability,auditory,Deaf,(none),reviewed,man,men,male,a Deaf man,Deaf men,descriptor_noun
ability,auditory,Deaf,(none),reviewed,mom,moms,female,a Deaf mom,Deaf moms,descriptor_noun
ability,auditory,Deaf,(none),reviewed,mother,mothers,female,a Deaf mother,Deaf mothers,descriptor_noun
ability,auditory,Deaf,(none),reviewed,parent,parents,neutral,a Deaf parent,Deaf parents,descriptor_noun
ability,auditory,Deaf,(none),reviewed,person,people,neutral,a Deaf person,Deaf people,descriptor_noun
ability,auditory,Deaf,(none),reviewed,sibling,siblings,neutral,a Deaf sibling,Deaf siblings,descriptor_noun
ability,auditory,Deaf,(none),reviewed,sister,sisters,female,a Deaf sister,Deaf sisters,descriptor_noun
ability,auditory,Deaf,(none),reviewed,son,sons,male,a Deaf son,Deaf sons,descriptor_noun
ability,auditory,Deaf,(none),reviewed,spouse,spouses,neutral,a Deaf spouse,Deaf spouses,descriptor_noun
ability,auditory,Deaf,(none),reviewed,veteran,veterans,neutral,a Deaf veteran,Deaf veterans,descriptor_noun
ability,auditory,Deaf,(none),reviewed,wife,wives,female,a Deaf wife,Deaf wives,descriptor_noun
ability,auditory,Deaf,(none),reviewed,woman,women,female,a Deaf woman,Deaf women,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,(none),(none),(none),hearing-impaired,hearing-impaired,descriptor
ability,auditory,hearing-impaired,(none),dispreferred,boy,boys,male,a hearing-impaired boy,hearing-impaired boys,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,bro,bros,male,a hearing-impaired bro,hearing-impaired bros,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,brother,brothers,male,a hearing-impaired brother,hearing-impaired brothers,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,child,children,neutral,a hearing-impaired child,hearing-impaired children,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,dad,dads,male,a hearing-impaired dad,hearing-impaired dads,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,daughter,daughters,female,a hearing-impaired daughter,hearing-impaired daughters,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,father,fathers,male,a hearing-impaired father,hearing-impaired fathers,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,girl,girls,female,a hearing-impaired girl,hearing-impaired girls,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,grandfather,grandfathers,male,a hearing-impaired grandfather,hearing-impaired grandfathers,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,grandma,grandmas,female,a hearing-impaired grandma,hearing-impaired grandmas,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,grandmother,grandmothers,female,a hearing-impaired grandmother,hearing-impaired grandmothers,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,grandpa,grandpas,male,a hearing-impaired grandpa,hearing-impaired grandpas,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,grandparent,grandparents,neutral,a hearing-impaired grandparent,hearing-impaired grandparents,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,guy,guys,male,a hearing-impaired guy,hearing-impaired guys,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,husband,husbands,male,a hearing-impaired husband,hearing-impaired husbands,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,individual,individuals,neutral,a hearing-impaired individual,hearing-impaired individuals,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,kid,kids,neutral,a hearing-impaired kid,hearing-impaired kids,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,lady,ladies,female,a hearing-impaired lady,hearing-impaired ladies,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,man,men,male,a hearing-impaired man,hearing-impaired men,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,mom,moms,female,a hearing-impaired mom,hearing-impaired moms,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,mother,mothers,female,a hearing-impaired mother,hearing-impaired mothers,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,parent,parents,neutral,a hearing-impaired parent,hearing-impaired parents,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,person,people,neutral,a hearing-impaired person,hearing-impaired people,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,sibling,siblings,neutral,a hearing-impaired sibling,hearing-impaired siblings,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,sister,sisters,female,a hearing-impaired sister,hearing-impaired sisters,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,son,sons,male,a hearing-impaired son,hearing-impaired sons,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,spouse,spouses,neutral,a hearing-impaired spouse,hearing-impaired spouses,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,veteran,veterans,neutral,a hearing-impaired veteran,hearing-impaired veterans,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,wife,wives,female,a hearing-impaired wife,hearing-impaired wives,descriptor_noun
ability,auditory,hearing-impaired,(none),dispreferred,woman,women,female,a hearing-impaired woman,hearing-impaired women,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,(none),(none),(none),wheelchair-bound,wheelchair-bound,descriptor
ability,mobility,wheelchair-bound,(none),dispreferred,boy,boys,male,a wheelchair-bound boy,wheelchair-bound boys,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,bro,bros,male,a wheelchair-bound bro,wheelchair-bound bros,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,brother,brothers,male,a wheelchair-bound brother,wheelchair-bound brothers,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,child,children,neutral,a wheelchair-bound child,wheelchair-bound children,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,dad,dads,male,a wheelchair-bound dad,wheelchair-bound dads,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,daughter,daughters,female,a wheelchair-bound daughter,wheelchair-bound daughters,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,father,fathers,male,a wheelchair-bound father,wheelchair-bound fathers,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,girl,girls,female,a wheelchair-bound girl,wheelchair-bound girls,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,grandfather,grandfathers,male,a wheelchair-bound grandfather,wheelchair-bound grandfathers,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,grandma,grandmas,female,a wheelchair-bound grandma,wheelchair-bound grandmas,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,grandmother,grandmothers,female,a wheelchair-bound grandmother,wheelchair-bound grandmothers,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,grandpa,grandpas,male,a wheelchair-bound grandpa,wheelchair-bound grandpas,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,grandparent,grandparents,neutral,a wheelchair-bound grandparent,wheelchair-bound grandparents,descriptor_noun
ability,mobility,wheelchair-bound,(none),dispreferred,guy,guys,male,a wheelchair-bound guy,wheelchair-bound guys,descriptor_noun
